Rooms,Price,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Suburb,zipcode,airbnb_price_mean,airbnb_weekly_price_mean,airbnb_monthly_price_mean
2,1480000.0,1.0,1.0,202.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1035000.0,1.0,0.0,156.0,79.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1465000.0,2.0,0.0,134.0,150.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,850000.0,2.0,1.0,94.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
4,1600000.0,1.0,2.0,120.0,142.0,2014.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,941000.0,1.0,0.0,181.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1876000.0,2.0,0.0,245.0,210.0,1910.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1636000.0,1.0,2.0,256.0,107.0,1890.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
1,300000.0,1.0,1.0,0.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,1097000.0,1.0,2.0,220.0,75.0,1900.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,700000.0,2.0,1.0,0.0,,,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
3,1350000.0,2.0,2.0,214.0,190.0,2005.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
2,750000.0,2.0,1.0,0.0,94.0,2009.0,Northern Metropolitan,Abbotsford,3067.0,90.89285714285714,597.8214285714286,2214.0714285714284
